date,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
13/8/2021,171727,309180,480907,401,51,16920633,10258780,27179413,10523,554,54615,144373,91771,140553,24709,24050,0,836
14/8/2021,166273,287199,453472,559,52,17086906,10545979,27632885,11082,606,40257,143810,100266,122899,25637,20337,0,266
15/8/2021,146522,278748,425270,343,22,17233428,10824727,28058155,11425,628,35101,130005,93193,127475,18140,21240,0,116
16/8/2021,179623,332724,512347,478,24,17413051,11157451,28570502,11903,652,39052,179841,120495,127660,19965,25121,0,213
17/8/2021,188756,347477,536233,489,34,17601807,11504928,29106735,12392,686,35779,197099,133416,126379,19383,23821,0,356
18/8/2021,194489,360602,555091,750,750,17796296,11865530,29661826,13142,1436,32594,186270,142757,150220,18979,23755,0,516
19/8/2021,183189,348107,531296,657,873,17979485,12213637,30193122,13799,2309,37106,189968,127593,132981,18391,25045,0,212
20/8/2021,156599,336222,492821,802,860,18136084,12549859,30685943,14601,3169,64670,166013,82603,144160,9261,25028,0,1086
21/8/2021,161454,319245,480699,822,843,18297538,12869104,31166642,15423,4012,76115,156173,75698,142388,9556,19968,0,801
22/8/2021,139552,309837,449389,752,562,18437090,13178941,31616031,16175,4574,75237,153138,55435,137177,8542,19165,0,695
23/8/2021,152118,250965,403083,633,585,18589208,13429906,32019114,16808,5159,101204,154834,39484,70152,11315,25732,0,362
24/8/2021,157210,271942,429152,913,614,18746418,13701848,32448266,17721,5773,103909,182160,41043,66570,12196,23060,0,214
25/8/2021,163859,267970,431829,947,651,18910277,13969818,32880095,18668,6424,110568,187447,43118,57460,10064,22928,0,244
26/8/2021,159198,259452,418650,1040,562,19070787,14229270,33298745,19708,6986,109838,168344,37212,66798,11723,22816,1312,607
27/8/2021,143304,207496,350800,1030,529,19215042,14436766,33649545,20738,7515,100864,126090,31699,58582,10418,21501,951,695
28/8/2021,147980,199373,347353,1457,482,19369683,14636139,33996898,22195,7997,102529,106847,32949,67100,12319,18421,6661,527
29/8/2021,145137,168354,313491,1133,42,19521787,14804493,34310389,23328,8039,106828,78455,25580,66336,12534,16207,6967,584
