date,state,daily
2021-03-05,Terengganu,3805
2021-03-05,W.P. Kuala Lumpur,6294
2021-03-05,W.P. Labuan,474
2021-03-05,W.P. Putrajaya,1399
2021-03-06,Johor,7765
2021-03-06,Kedah,10891
2021-03-06,Kelantan,9389
2021-03-06,Melaka,3736
2021-03-06,Negeri Sembilan,3589
2021-03-06,Pahang,5997
2021-03-06,Perak,8107
2021-03-06,Perlis,2273
2021-03-06,Pulau Pinang,5420
2021-03-06,Sabah,9855
2021-03-06,Sarawak,11786
2021-03-06,Selangor,18522
2021-03-06,Terengganu,2861
2021-03-06,W.P. Kuala Lumpur,16393
2021-03-06,W.P. Labuan,947
2021-03-06,W.P. Putrajaya,1440
2021-03-07,Johor,12263
2021-03-07,Kedah,6829
2021-03-07,Kelantan,638
2021-03-07,Melaka,7334
2021-03-07,Negeri Sembilan,4304
2021-03-07,Pahang,5494
2021-03-07,Perak,17585
2021-03-07,Perlis,464
2021-03-07,Pulau Pinang,11029
2021-03-07,Sabah,12026
2021-03-07,Sarawak,50203
2021-03-07,Selangor,41728
2021-03-07,Terengganu,8710
2021-03-07,W.P. Kuala Lumpur,42128
2021-03-07,W.P. Labuan,1357
2021-03-07,W.P. Putrajaya,940
2021-03-08,Johor,51472
2021-03-08,Kedah,31181
2021-03-08,Kelantan,32253
2021-03-08,Melaka,16041
2021-03-08,Negeri Sembilan,26063
2021-03-08,Pahang,29064
2021-03-08,Perak,31763
2021-03-08,Perlis,3227
2021-03-08,Pulau Pinang,28941
2021-03-08,Sabah,44098
2021-03-08,Sarawak,28178
2021-03-08,Selangor,108487
2021-03-08,Terengganu,15600
2021-03-08,W.P. Kuala Lumpur,49768
2021-03-08,W.P. Labuan,502
2021-03-08,W.P. Putrajaya,3189
2021-03-09,Johor,69147
2021-03-09,Kedah,17957
2021-03-09,Kelantan,8938
2021-03-09,Melaka,16831
2021-03-09,Negeri Sembilan,11080
2021-03-09,Pahang,23139
2021-03-09,Perak,36301
2021-03-09,Perlis,2631
2021-03-09,Pulau Pinang,21684
2021-03-09,Sabah,40928
2021-03-09,Sarawak,3487
2021-03-09,Selangor,46391
2021-03-09,Terengganu,6649
2021-03-09,W.P. Kuala Lumpur,25967
2021-03-09,W.P. Labuan,231
2021-03-09,W.P. Putrajaya,566
