date,state,cases_new
2021-08-17,Sarawak,835
2021-08-17,Selangor,5753
2021-08-17,Terengganu,498
2021-08-17,W.P. Kuala Lumpur,1765
2021-08-17,W.P. Labuan,0
2021-08-17,W.P. Putrajaya,41
2021-08-18,Johor,1477
2021-08-18,Kedah,1852
2021-08-18,Kelantan,1351
2021-08-18,Melaka,579
2021-08-18,Negeri Sembilan,577
2021-08-18,Pahang,675
2021-08-18,Perak,1036
2021-08-18,Perlis,50
2021-08-18,Pulau Pinang,1867
2021-08-18,Sabah,2413
2021-08-18,Sarawak,1403
2021-08-18,Selangor,6858
2021-08-18,Terengganu,487
2021-08-18,W.P. Kuala Lumpur,1587
2021-08-18,W.P. Labuan,5
2021-08-18,W.P. Putrajaya,25
2021-08-19,Johor,1526
2021-08-19,Kedah,2137
2021-08-19,Kelantan,1271
2021-08-19,Melaka,737
2021-08-19,Negeri Sembilan,556
2021-08-19,Pahang,736
2021-08-19,Perak,1229
2021-08-19,Perlis,42
2021-08-19,Pulau Pinang,1655
2021-08-19,Sabah,2583
2021-08-19,Sarawak,1206
2021-08-19,Selangor,7175
2021-08-19,Terengganu,621
2021-08-19,W.P. Kuala Lumpur,1439
2021-08-19,W.P. Labuan,9
2021-08-19,W.P. Putrajaya,26
2021-08-20,Johor,1323
2021-08-20,Kedah,1932
2021-08-20,Kelantan,1281
2021-08-20,Melaka,610
2021-08-20,Negeri Sembilan,608
2021-08-20,Pahang,517
2021-08-20,Perak,1248
2021-08-20,Perlis,64
2021-08-20,Pulau Pinang,1523
2021-08-20,Sabah,2738
2021-08-20,Sarawak,2548
2021-08-20,Selangor,6974
2021-08-20,Terengganu,521
2021-08-20,W.P. Kuala Lumpur,1652
2021-08-20,W.P. Labuan,1
2021-08-20,W.P. Putrajaya,24
2021-08-21,Johor,1558
2021-08-21,Kedah,1880
2021-08-21,Kelantan,1039
2021-08-21,Melaka,882
2021-08-21,Negeri Sembilan,405
2021-08-21,Pahang,664
2021-08-21,Perak,946
2021-08-21,Perlis,38
2021-08-21,Pulau Pinang,1459
2021-08-21,Sabah,2651
2021-08-21,Sarawak,1964
2021-08-21,Selangor,7011
2021-08-21,Terengganu,495
2021-08-21,W.P. Kuala Lumpur,1220
2021-08-21,W.P. Labuan,9
2021-08-21,W.P. Putrajaya,41
2021-08-22,Johor,1391
2021-08-22,Kedah,1948
2021-08-22,Kelantan,1196
2021-08-22,Melaka,558
2021-08-22,Negeri Sembilan,508
2021-08-22,Pahang,598
2021-08-22,Perak,703
2021-08-22,Perlis,54
2021-08-22,Pulau Pinang,1501
2021-08-22,Sabah,2638
2021-08-22,Sarawak,1772
2021-08-22,Selangor,5379
2021-08-22,Terengganu,534
2021-08-22,W.P. Kuala Lumpur,999
2021-08-22,W.P. Labuan,4
2021-08-22,W.P. Putrajaya,24
2021-08-23,Johor,1367
2021-08-23,Kedah,1602
2021-08-23,Kelantan,1176
2021-08-23,Melaka,363
2021-08-23,Negeri Sembilan,478
2021-08-23,Pahang,506
2021-08-23,Perak,952
2021-08-23,Perlis,57
2021-08-23,Pulau Pinang,1451
2021-08-23,Sabah,2474
2021-08-23,Sarawak,1538
2021-08-23,Selangor,4316
2021-08-23,Terengganu,470
2021-08-23,W.P. Kuala Lumpur,891
2021-08-23,W.P. Labuan,7
2021-08-23,W.P. Putrajaya,24
2021-08-24,Johor,1743
2021-08-24,Kedah,1772
2021-08-24,Kelantan,1422
2021-08-24,Melaka,396
2021-08-24,Negeri Sembilan,351
2021-08-24,Pahang,521
2021-08-24,Perak,1242
2021-08-24,Perlis,74
2021-08-24,Pulau Pinang,2054
2021-08-24,Sabah,3376
2021-08-24,Sarawak,1543
2021-08-24,Selangor,4645
2021-08-24,Terengganu,383
2021-08-24,W.P. Kuala Lumpur,1284
2021-08-24,W.P. Labuan,4
2021-08-24,W.P. Putrajaya,27
2021-08-25,Johor,1832
2021-08-25,Kedah,2279
2021-08-25,Kelantan,1424
2021-08-25,Melaka,342
2021-08-25,Negeri Sembilan,269
2021-08-25,Pahang,522
2021-08-25,Perak,1390
2021-08-25,Perlis,44
2021-08-25,Pulau Pinang,1427
2021-08-25,Sabah,3224
2021-08-25,Sarawak,1667
2021-08-25,Selangor,6325
2021-08-25,Terengganu,744
2021-08-25,W.P. Kuala Lumpur,1128
2021-08-25,W.P. Labuan,4
2021-08-25,W.P. Putrajaya,21
2021-08-26,Johor,2785
2021-08-26,Kedah,1538
2021-08-26,Kelantan,1312
2021-08-26,Melaka,515
2021-08-26,Negeri Sembilan,526
2021-08-26,Pahang,690
2021-08-26,Perak,1170
2021-08-26,Perlis,67
2021-08-26,Pulau Pinang,2078
2021-08-26,Sabah,3487
2021-08-26,Sarawak,2024
2021-08-26,Selangor,6936
2021-08-26,Terengganu,567
2021-08-26,W.P. Kuala Lumpur,881
2021-08-26,W.P. Labuan,3
2021-08-26,W.P. Putrajaya,20
2021-08-27,Johor,1809
2021-08-27,Kedah,2072
2021-08-27,Kelantan,1051
2021-08-27,Melaka,589
2021-08-27,Negeri Sembilan,338
2021-08-27,Pahang,610
2021-08-27,Perak,939
2021-08-27,Perlis,76
2021-08-27,Pulau Pinang,1829
2021-08-27,Sabah,3010
2021-08-27,Sarawak,2224
2021-08-27,Selangor,5920
2021-08-27,Terengganu,488
2021-08-27,W.P. Kuala Lumpur,1068
2021-08-27,W.P. Labuan,8
2021-08-27,W.P. Putrajaya,39
2021-08-28,Johor,1896
2021-08-28,Kedah,2162
2021-08-28,Kelantan,1289
2021-08-28,Melaka,269
2021-08-28,Negeri Sembilan,345
2021-08-28,Pahang,579
2021-08-28,Perak,1061
2021-08-28,Perlis,98
2021-08-28,Pulau Pinang,1920
2021-08-28,Sabah,2834
2021-08-28,Sarawak,2427
2021-08-28,Selangor,5814
2021-08-28,Terengganu,739
2021-08-28,W.P. Kuala Lumpur,1111
2021-08-28,W.P. Labuan,5
2021-08-28,W.P. Putrajaya,48
2021-08-29,Johor,1852
2021-08-29,Kedah,1755
2021-08-29,Kelantan,1316
2021-08-29,Melaka,636
2021-08-29,Negeri Sembilan,329
2021-08-29,Pahang,839
2021-08-29,Perak,1208
2021-08-29,Perlis,56
2021-08-29,Pulau Pinang,1378
2021-08-29,Sabah,2578
2021-08-29,Sarawak,2522
2021-08-29,Selangor,4591
2021-08-29,Terengganu,789
2021-08-29,W.P. Kuala Lumpur,680
2021-08-29,W.P. Labuan,2
2021-08-29,W.P. Putrajaya,48
2021-08-30,Johor,2265
2021-08-30,Kedah,2084
2021-08-30,Kelantan,1308
2021-08-30,Melaka,395
2021-08-30,Negeri Sembilan,269
2021-08-30,Pahang,788
2021-08-30,Perak,1144
2021-08-30,Perlis,71
2021-08-30,Pulau Pinang,1780
2021-08-30,Sabah,2310
2021-08-30,Sarawak,2028
2021-08-30,Selangor,3567
2021-08-30,Terengganu,544
2021-08-30,W.P. Kuala Lumpur,672
2021-08-30,W.P. Labuan,2
2021-08-30,W.P. Putrajaya,41
2021-08-31,Johor,2159
2021-08-31,Kedah,1942
2021-08-31,Kelantan,1479
2021-08-31,Melaka,417
2021-08-31,Negeri Sembilan,215
2021-08-31,Pahang,798
2021-08-31,Perak,1204
2021-08-31,Perlis,64
2021-08-31,Pulau Pinang,1732
2021-08-31,Sabah,2594
2021-08-31,Sarawak,2285
2021-08-31,Selangor,4371
2021-08-31,Terengganu,608
2021-08-31,W.P. Kuala Lumpur,1003
2021-08-31,W.P. Labuan,1
